id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và giải quyết sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely addresses the SLA for P1 ticket processing.,5,Retrieved: 1/1 expected sources,5,,variant_B_rerank_only
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question about the refund request timeframe.,5,Retrieved: 1/1 expected sources,5,,variant_B_rerank_only
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly addresses the question with all necessary approvals listed.,5,Retrieved: 1/1 expected sources,5,All key points from the expected answer are present.,variant_B_rerank_only
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,Claims about digital products and manufacturer defects are partially grounded but lack clarity on conditions.,5,Answer directly addresses the question about digital product refunds.,5,Retrieved: 1/1 expected sources,3,Missing the specific mention of license key and subscription as exceptions to the refund policy.,variant_B_rerank_only
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Every claim in the answer is explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question with a specific number.,5,Retrieved: 1/1 expected sources,5,,variant_B_rerank_only
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, quy trình escalation khẩn cấp cho phép On-call IT Admin cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely explains the escalation process for P1 incidents.,5,Retrieved: 1/1 expected sources,4,Missing details about the temporary permissions granted to On-call IT Admin and the logging requirement.,variant_B_rerank_only
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,The answer correctly references the approval process but lacks detail on the matrix itself.,5,Answer directly defines the Approval Matrix and its purpose.,5,Retrieved: 1/1 expected sources,3,Missing the specific name change to 'Access Control SOP' and the document reference.,variant_B_rerank_only
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Every claim in the answer is explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question about remote work days.,5,Retrieved: 1/1 expected sources,5,,variant_B_rerank_only
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập, thường xảy ra khi người dùng không có quyền truy cập vào tài nguyên yêu cầu. Cách xử lý có thể bao gồm kiểm tra và điều chỉnh quyền truy cập của người dùng hoặc liên hệ với quản trị viên để được hỗ trợ. Tuy nhiên, thông tin chi tiết về cách xử lý cụ thể không có trong ngữ cảnh đã cung cấp.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",3,Answer partially grounded; lacks specific context on ERR-403-AUTH.,4,Answer explains the error and suggests solutions but lacks specific details on handling.,,No expected sources,3,Missing mention of lack of information in existing documentation and suggestion to contact IT Helpdesk.,variant_B_rerank_only
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin cụ thể nào về quy trình hoàn tiền khẩn cấp cho khách hàng VIP trong bối cảnh đã cung cấp. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,Answer lacks specific context on VIP refund process but acknowledges absence of information.,1,The answer does not address the question and lacks relevant information.,5,Retrieved: 1/1 expected sources,2,Missing information about the lack of a special process for VIP customers and the standard 3-5 day timeframe.,variant_B_rerank_only
