id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question about SLA for P1 tickets.,5,Retrieved: 1/1 expected sources,5,,variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][3].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question about the refund request timeframe.,5,Retrieved: 1/1 expected sources,5,,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question with all necessary approvals listed.,5,Retrieved: 1/1 expected sources,5,,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi sản phẩm bị lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,Claims about digital products and conditions are partially grounded but lack clarity on exceptions.,5,Answer directly addresses the question about digital product refunds clearly and completely.,5,Retrieved: 1/1 expected sources,3,Missing the specific mention of the policy exception for digital products and the types of products included.,variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question about account lockout after failed login attempts.,5,Retrieved: 1/1 expected sources,5,,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. Nếu không có phản hồi trong 10 phút, ticket P1 sẽ tự động escalate lên Senior Engineer.
2. Phản hồi ban đầu phải được thực hiện trong 15 phút và xử lý khắc phục trong 4 giờ [2]. 

Ngoài ra, trong trường hợp cần cấp quyền tạm thời để khắc phục sự cố P1, quy trình escalation khẩn cấp yêu cầu:
1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,All claims are explicitly supported by the retrieved context.,5,Answer thoroughly explains the escalation process for P1 incidents.,5,Retrieved: 1/1 expected sources,4,Missing detail about the initial response time of 15 minutes.,variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu quy định quy trình cấp quyền hệ thống là ""Access Control SOP"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,The answer correctly identifies the document but lacks specific title confirmation.,4,The answer identifies a relevant document but does not explicitly mention 'Approval Matrix'.,5,Retrieved: 1/1 expected sources,4,Missing the original name 'Approval Matrix for System Access' and the indication of the document's current name.,variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã qua probation period, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal. Ngày onsite bắt buộc là Thứ 3 và Thứ 5 theo lịch team [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,All claims in the answer are explicitly supported by the retrieved context.,5,Answer directly and completely addresses the question about remote work days.,5,Retrieved: 1/1 expected sources,5,,variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,The answer provides no relevant information from the context.,1,The answer does not address the question at all.,,No expected sources,1,Model answer does not address the error type or suggest contacting IT Helpdesk.,variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin cụ thể nào trong tài liệu về việc quy trình hoàn tiền khẩn cấp cho khách hàng VIP có khác biệt so với quy trình thông thường. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",3,"Answer lacks specific context on VIP refund process, relying on model knowledge.",3,The answer is relevant but does not directly address the core question about differences in the process.,5,Retrieved: 1/1 expected sources,3,Missing the specific mention of the 3-5 day processing time and the lack of a special procedure for VIP customers.,variant_hybrid_rerank
